Vendor,Expense_Dept,Allocation_Schedule,GL_Code
Dara Av-Service Contract GOLF,AV,"100%, no allocation",7110
Dara Av-Service Contract Sunset Terrace SKY RINK,AV,"100%, no allocation",7110
CT Business Services,AV,"100%, no allocation",7111
Dara or CT vendor,AV,"100%, no allocation",7110
Dara AV,AV,"100%, no allocation",7270
REACH - Subscription,AV,Billed separate,7112
REACH - Hardware,AV,"100%, no allocation",7110
Dara AV,AV,"100%, no allocation",7270
Dara AV,AV,"100%, no allocation",7270
North Shore Neon,AV,"100%, no allocation",7272
Jared,AV,Billed separate,7110
Gantner,Security,"100%, no allocation",7110
ExacqVision,Security,"100%, no allocation",7112
ExacqVision,Security,"100%, no allocation",7110
Spectrum Charter coax,Telecomm Providers,,6406
Spectrum Fiber Internet LAN,Telecomm Providers,"100%, no allocation",6406
FuboTV (Sky Rink tvs),Telecomm Providers,"100%, no allocation",6406
Hulu,Telecomm Providers,,6406
Sling TV,Telecomm Providers,,6406
BMI,Telecomm Providers,"100%, no allocation",6406
Jared,Telecomm Providers,,6406
Spotify,Telecomm Providers,"100%, no allocation",6406
Spotify,Telecomm Providers,"100%, no allocation",6406
NuVisions,Telecomm Providers,Billed separate,6406
Dynalink,Telecomm Providers,Not allocated to venues in previous years,6406
PGI/LoopUp,Telecomm Providers,"100%, no allocation",6406
FluentStream for CPNY,Telecomm Providers,21,6406
NuVisions,Telecomm Providers,Billed separate,6406
NuVisions,Telecomm Providers,"100%, no allocation",6406
Spectrum,Telecomm Providers,"100%, no allocation",6406
Verizon,Telecomm Providers,"100%, no allocation",6406
Verizon Wireless,Telecomm Providers,"100%, no allocation",6406
Apple Developer,Mobile App,20,7112
Firebase,Mobile App,20,7112
Launch Darkly,Mobile App,20,7112
New Relic,Mobile App,20,7112
Sanity,Mobile App,10,7112
Expo,Mobile App,20,7112
BrowserStack,Mobile App,20,7112
Sentry,Mobile App,20,7112
Allyant 360,Websites,18,7110
Github,Websites,1,7112
GoDaddy,Websites,1,7112
Microsoft Clarity,Websites,1,7112
Mura,Websites,1,7112
Squarespace,Websites,"100%, no allocation",7112
Wordpress,Websites,1,7112
Zoho Forms - Standard,Websites,1,7112
Zoho SalesIQ - Enterprise,Websites,1,7112
Hydrow,Connected Fitness,,6214
ICG,Connected Fitness,,6214
InBody,Connected Fitness,,6214
Mirror,Connected Fitness,,6214
Peloton,Connected Fitness,,6214
Varies,,19,7113
Varies,,19,7113
Varies,,19,7113
Varies,,19,7113
Provider:,Expense Department:,,GL:
Myriad360,Networks,22,1215
Myriad360,Networks,22,1215
Myriad360,Networks,22,1215
Myriad360,Networks,23,1215
Myriad360,Networks,24,1215
Dell,Hardware - Individuals,Alex will provide Actual % allocations when purchases are made,1215
Bond,Software - Operations,27,1331
Exerp,Software - Operations,28,1331
Exerp,Software - Operations,100% no allocation,1331
Exerp,Software - Operations,100% no allocation,1331
Exerp,Software - Operations,100% no allocation,1331
Exerp,Software - Operations,29,1331
Exerp,Software - Operations,29,1331
Exerp,Software - Operations,29,1331
Exerp,Software - Operations,28,1331
Daktronics,AV,100% no allocation,1215
Gantner,Security,25,1215
ExacqVision,Security,100% no allocation,1215
ExacqVision,Security,100% no allocation,1215
Consultant,Mobile App,29,1331
Lagarsoft,Mobile App,29,1331
Lagarsoft,Mobile App,29,1331
Consultant,Websites,30,1331
Roboto,Websites,30,1331
Consultant,Websites,30,1331
Lagarsoft,Websites,30,1331
Lagarsoft,Websites,30,1331
