Vendor,Expense_Dept,Allocation_Schedule,GL_Code,email_domain,billing_party
Loom,Software - IT,1,7112,loom,Chelsea Piers
Heap,Software - IT,10,7112,heap,Chelsea Piers
UserInterviews,Software - IT,1,7112,userinterviews,Chelsea Piers
LogMeIn,Software - IT,1,7112,logmein,Chelsea Piers
"TBD - Torii, Trelica, Lumos",Software - IT,1,7112,"tbd_-_torii,_trelica,_lumos",Chelsea Piers
Postman,Software - IT,1,7112,postman,Chelsea Piers
dbt,Software - IT,1,7112,dbt,Chelsea Piers
Zoho Flow - Professional,Software - IT,1,7112,zoho_flow_-_professional,Chelsea Piers
Zapier,Software - IT,1,7112,zapier.com,Chelsea Piers
Veeam,Software - IT,1,7112,veeam.com,Chelsea Piers
Shopify,Software - Operations,"100%, no allocation",6214,shopify.com,Chelsea Piers
Toast,Software - Operations,Billed separate,6214,toast,Chelsea Piers
Campsite,Software - Operations,"100%, no allocation",6214,campsite,Chelsea Piers
Daysmart,Software - Operations,Billed separate,6214,daysmart,Chelsea Piers
Bond,Software - Operations,"100%, no allocation",6214,bond,Chelsea Piers
Bond,Software - Operations,11,6214,bond,Chelsea Piers
Dockwa,Software - Operations,"100%, no allocation",6214,dockwa,Chelsea Piers
Prospr,Software - Operations,13,6214,prospr,Chelsea Piers
HUB Parking,Software - Operations,"100%, no allocation",6214,hub_parking,Chelsea Piers
iPark,Software - Operations,"100%, no allocation",6214,ipark,Chelsea Piers
Windcave,Software - Operations,"100%, no allocation",6214,windcave,Chelsea Piers
Yardi,Software - Operations,"100%, no allocation",6214,yardi,Chelsea Piers
League Athletics,Software - Operations,Billed separate,6214,league_athletics,Chelsea Piers
SportsEngine,Software - Operations,"100%, no allocation",6214,sportsengine,Chelsea Piers
TeamSnap,Software - Operations,26,6214,teamsnap,Chelsea Piers
TeamUnify,Software - Operations,"100%, no allocation",6214,teamunify,Chelsea Piers
InRange,Software - Operations,"100%, no allocation",6214,inrange,Chelsea Piers
SevenRooms,Software - Operations,"100%, no allocation",6214,sevenrooms,Chelsea Piers
Dell,Hardware - Individuals,Note Entity/Venue when submitting,6215,dell,Chelsea Piers
Varies,Hardware - Individuals,"100%, no allocation",7110,varies,Chelsea Piers
Varies,Hardware - Individuals,Note Entity/Venue when submitting,6215,varies,Chelsea Piers
Dell,Hardware - Operations,Note Entity/Venue when submitting,6215,dell,Chelsea Piers
Varies,Hardware - Operations,Note Entity/Venue when submitting,6215,varies,Chelsea Piers
Tele-dynamics,Hardware - Operations,"100%, no allocation",6215,tele-dynamics,Chelsea Piers
Reliable Office,Hardware - Operations,Note Entity/Venue when submitting,7110,reliable_office,Chelsea Piers
Dara Av-Service Contract for CPF Chelsea,AV,"100%, no allocation",7110,dara_av-service_contract_for_cpf_chelsea,Chelsea Piers
Dara Av-Service Contract FH Chelsea,AV,"100%, no allocation",7110,dara_av-service_contract_fh_chelsea,Chelsea Piers
Dara Av-Service Contract GOLF,AV,"100%, no allocation",7110,dara_av-service_contract_golf,Chelsea Piers
Dara Av-Service Contract Sunset Terrace SKY RINK,AV,"100%, no allocation",7110,dara_av-service_contract_sunset_terrace_sky_rink,Chelsea Piers
CT Business Services,AV,"100%, no allocation",7111,ct_business_services,Chelsea Piers
Dara or CT vendor,AV,"100%, no allocation",7110,dara_or_ct_vendor,Chelsea Piers
Dara AV,AV,"100%, no allocation",7270,dara_av,Chelsea Piers
